status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.print_section,response.docs.print_page,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The Senate approved Representative Deb Haaland of New Mexico to lead the Interior Department, making her the first Native American to lead a cabinet agency.",https://www.nytimes.com/video/us/politics/100000007656244/deb-haaland-confirmation-interior-secretary.html,"The Senate approved Representative Deb Haaland of New Mexico to lead the Interior Department, making her the first Native American to lead a cabinet agency.","The Senate approved Representative Deb Haaland of New Mexico to lead the Interior Department, making her the first Native American to lead a cabinet agency.",The New York Times,,,2021-03-16T01:54:16+0000,multimedia,,U.S.,Video,nyt://video/3815fd7b-8203-507e-a87f-761578c658c4,0,nyt://video/3815fd7b-8203-507e-a87f-761578c658c4,NA,NA,Politics,Senate Confirms Haaland as Secretary of the Interior,NA,NA,NA,NA,NA,NA,By The Associated Press,,The Associated Press,121,10,23
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"On Thursday, Deb Haaland made history when she began her job as secretary of the Interior, becoming the first Native American to lead a cabinet-level agency.",https://www.nytimes.com/video/us/politics/100000007663821/deb-haaland-swearing-in-interior-secretary.html,"On Thursday, Deb Haaland made history when she began her job as secretary of the Interior, becoming the first Native American to lead a cabinet-level agency.","On Thursday, Deb Haaland made history when she began her job as secretary of the Interior, becoming the first Native American to lead a cabinet-level agency.",AP,,,2021-03-19T17:39:14+0000,multimedia,,U.S.,Video,nyt://video/48d74f36-3889-580c-97f2-bb7538f1e4c5,0,nyt://video/48d74f36-3889-580c-97f2-bb7538f1e4c5,NA,NA,Politics,Deb Haaland Sworn In as Secretary of the Interior,NA,NA,NA,NA,NA,NA,By The Associated Press,,The Associated Press,121,10,23
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Deb Haaland, the interior secretary, has advised President Biden to reinstate boundaries at Bears Ears and Grand Staircase-Escalante in Utah, and also in a marine area off New England. All were reduced by former President Donald J. Trump.",https://www.nytimes.com/2021/06/14/climate/bears-ears-biden-haaland.html,"Deb Haaland, the interior secretary, has advised President Biden to reinstate boundaries at Bears Ears and Grand Staircase-Escalante in Utah, and also in a marine area off New England. All were reduced by former President Donald J. Trump.",WASHINGTON — Interior Secretary Deb Haaland has advised President Biden to restore sweeping environmental protections to three major national monuments that had been stripped away by former President Donald J. Trump.,The New York Times,,,2021-06-14T22:41:39+0000,article,Climate,Climate,News,nyt://article/d1ea0467-9f89-5913-b43c-5db4c75bd505,937,nyt://article/d1ea0467-9f89-5913-b43c-5db4c75bd505,A,17,NA,Haaland Wants to Restore Environmental Safeguards for Three National Monuments,NA,NA,Haaland Urges the Restoration of Three Protected Sites,NA,NA,NA,By Coral Davenport,,NA,121,10,23
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Five articles from around The Times, narrated just for you.",https://www.nytimes.com/2021/06/04/podcasts/emily-wilder-deb-haaland-coronavirus-vaccine-narrated-articles.html,"Five articles from around The Times, narrated just for you.","This weekend, listen to a collection of narrated articles from around The New York Times, read aloud by the reporters who wrote the story.",The New York Times,,,2021-06-04T09:00:17+0000,article,Podcasts,Podcasts,News,nyt://article/16f5e526-d656-5015-88e1-bf2ae9166824,609,nyt://article/16f5e526-d656-5015-88e1-bf2ae9166824,NA,NA,NA,Our Digital Pasts and the Promise and Pressures of Deb Haaland: The Week in Narrated Articles,NA,NA,NA,NA,NA,NA,NA,,NA,121,10,23
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Manchester City or another wealthy club might need to sign Erling Haaland, if only to save soccer from financial calamity.",https://www.nytimes.com/2021/04/17/sports/soccer/erling-haaland-transfer.html,"Manchester City or another wealthy club might need to sign Erling Haaland, if only to save soccer from financial calamity.","As the danger bubbled to the surface, there was an audible intake of breath among Manchester City’s substitutes. Once it had passed, a few seconds later, as they exchanged glances — of admiration, of relief — came a little murmur of appreciation. In the silence of the stadium, you could hear the sounds of game recognizing game.",The New York Times,,,2021-04-17T13:54:50+0000,article,Sports,Sports,News,nyt://article/ef1549cb-b6d9-506d-924f-9ad950b24961,2549,nyt://article/ef1549cb-b6d9-506d-924f-9ad950b24961,A,25,Soccer,The Moral Case for Buying Erling Haaland,Rory Smith On Soccer,NA,"Finally, a Moral Case for the Transfer Market",NA,NA,NA,By Rory Smith,,NA,121,10,23
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,Interior Secretary Deb Haaland announced that her agency will formally begin the process of identifying federal waters to lease to wind developers by 2025.,https://www.nytimes.com/2021/10/13/climate/biden-offshore-wind-farms.html,Interior Secretary Deb Haaland announced that her agency will formally begin the process of identifying federal waters to lease to wind developers by 2025.,"WASHINGTON — The Biden administration announced on Wednesday a plan to develop large-scale wind farms along nearly the entire coastline of the United States, the first long-term strategy from the government to produce electricity from offshore turbines.",The New York Times,,,2021-10-13T19:08:01+0000,article,Climate,Climate,News,nyt://article/62a4a61c-968c-5df3-b612-46c230555347,771,nyt://article/62a4a61c-968c-5df3-b612-46c230555347,A,18,NA,Biden Administration Plans Wind Farms Along Nearly the Entire U.S. Coastline,NA,NA,U.S. Plans to Build Wind Farms Along Most of Coastline in Climate Push,NA,NA,NA,By Coral Davenport,,NA,121,10,23
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Representative Deb Haaland of New Mexico, President Biden’s pick to head the Interior Department, sought Tuesday to find the line between her past remarks as an activist opposing the fossil fuel industry, and her prospective role at the helm of an agency that oversees drilling and conservation on the nation’s more than 500 million acres of public land.",https://www.nytimes.com/2021/02/23/us/politics/deb-haaland-interior-secretary-nominee-says-she-will-enact-bidens-agenda-not-my-own-on-fossil-fuels.html,,"Representative Deb Haaland of New Mexico, President Biden’s pick to head the Interior Department, sought Tuesday to find the line between her past remarks as an activist opposing the fossil fuel industry, and her prospective role at the helm of an agency that oversees drilling and conservation on the nation’s more than 500 million acres of public land.",The New York Times,,,2021-02-23T19:33:31+0000,article,Washington,U.S.,News,nyt://article/21fa2e84-2f5d-578e-a757-2a1da0e80b85,500,nyt://article/21fa2e84-2f5d-578e-a757-2a1da0e80b85,NA,NA,Politics,"Deb Haaland, interior secretary nominee, says she will enact ‘Biden’s agenda, not my own’ on fossil fuels.",NA,NA,NA,NA,NA,NA,By Coral Davenport,,NA,121,10,23
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The support of Senator Lisa Murkowski of Alaska, a key Republican from an oil-producing state, virtually ensures Ms. Haaland’s confirmation by the Senate.",https://www.nytimes.com/2021/03/04/us/deb-haaland-murkowski-senate.html,"The support of Senator Lisa Murkowski of Alaska, a key Republican from an oil-producing state, virtually ensures Ms. Haaland’s confirmation by the Senate.","A Senate committee on Thursday approved Deb Haaland to be the next secretary of the interior, with the support of Senator Lisa Murkowski of Alaska, a key Republican from an oil-producing state, virtually ensuring her confirmation by the Senate later this month.",The New York Times,,,2021-03-04T17:12:56+0000,article,Washington,U.S.,News,nyt://article/07bd3f60-f12c-535d-8bfd-634af040e868,518,nyt://article/07bd3f60-f12c-535d-8bfd-634af040e868,NA,NA,NA,"Biden’s interior secretary pick, Deb Haaland, is headed to confirmation as two Republicans announce support.",NA,NA,NA,NA,NA,NA,By Glenn Thrush and Coral Davenport,,NA,121,10,23
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"If confirmed, Ms. Haaland would make history as the first Native American to head a cabinet agency.",https://www.nytimes.com/2021/02/24/us/deb-haaland-senate.html,"If confirmed, Ms. Haaland would make history as the first Native American to head a cabinet agency.","Senator Joe Manchin III, the West Virginia Democrat who heads the Senate Energy Committee, announced Wednesday that he will vote to confirm Representative Deb Haaland of New Mexico to head the Interior Department.",The New York Times,,,2021-02-24T18:04:18+0000,article,Washington,U.S.,News,nyt://article/d764fe6e-c966-5010-a607-3332125936ee,712,nyt://article/d764fe6e-c966-5010-a607-3332125936ee,NA,NA,NA,"Manchin supports Haaland for Interior secretary, a key vote that signals she could be confirmed along party lines.",NA,NA,NA,NA,NA,NA,By Coral Davenport,,NA,121,10,23
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"President Biden is restoring Bears Ears and Grand Staircase-Escalante in Utah and a marine monument off the New England coast, all severely reduced by former President Donald J. Trump.",https://www.nytimes.com/2021/10/07/climate/bears-ears-grand-staircase-escalante-biden.html,"President Biden is restoring Bears Ears and Grand Staircase-Escalante in Utah and a marine monument off the New England coast, all severely reduced by former President Donald J. Trump.",WASHINGTON — President Biden announced on Friday that he will use his executive authority to restore sweeping environmental protections to three major national monuments that had been stripped away by former President Donald J. Trump.,The New York Times,,,2021-10-07T21:27:00+0000,article,Climate,Climate,News,nyt://article/3cb85c7e-b9fc-572e-b447-d70440f67b81,709,nyt://article/3cb85c7e-b9fc-572e-b447-d70440f67b81,A,14,NA,Biden to Restore Three National Monuments in Utah and New England,NA,NA,Biden to Restore Protections That Trump Stripped From 3 National Monuments,NA,NA,NA,By Coral Davenport,,NA,121,10,23
